,session,model_args,model_stats
46,47,"{'train_type': 'c', 'input_file': 'data/iris.csv', 'project_folder': 'output/iris_project', 'target_col': 'Name', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'False', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': ""{'Name': {'Iris-setosa':0, 'Iris-versicolor':1, 'Iris-virginica':2}}"", 'save_auto_tune': 'True', 'auto_tune_iter': '1000', 'train_cols': None, 'num_of_class': '3', 'ignore_cols': None, 'random_state': 'None', 'model_type': 'RF', 'num_of_features': 10, 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': None, 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': None, 'R2': None, 'Accuracy': 0.96}"
47,48,"{'train_type': 'c', 'input_file': 'data/iris.csv', 'project_folder': 'output/iris_project', 'target_col': 'Name', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'False', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': ""{'Name': {'Iris-setosa':0, 'Iris-versicolor':1, 'Iris-virginica':2}}"", 'save_auto_tune': 'True', 'auto_tune_iter': '1000', 'train_cols': None, 'num_of_class': '3', 'ignore_cols': None, 'random_state': 'None', 'model_type': 'RF', 'num_of_features': 10, 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': None, 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': None, 'R2': None, 'Accuracy': 0.96}"
48,49,"{'train_type': 'c', 'input_file': 'data/iris.csv', 'project_folder': 'output/iris_project', 'target_col': 'Name', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'False', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': ""{'Name': {'Iris-setosa':0, 'Iris-versicolor':1, 'Iris-virginica':2}}"", 'save_auto_tune': 'True', 'auto_tune_iter': '1000', 'train_cols': None, 'num_of_class': '3', 'ignore_cols': None, 'random_state': 'None', 'model_type': 'RF', 'num_of_features': 10, 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': None, 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': None, 'R2': None, 'Accuracy': 0.96}"
49,50,"{'train_type': 'c', 'input_file': 'data/iris.csv', 'project_folder': 'output/iris_project', 'target_col': 'Name', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'False', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': ""{'Name': {'Iris-setosa':0, 'Iris-versicolor':1, 'Iris-virginica':2}}"", 'save_auto_tune': 'True', 'auto_tune_iter': '1000', 'train_cols': None, 'num_of_class': '3', 'ignore_cols': None, 'random_state': 'None', 'model_type': 'RF', 'num_of_features': 10, 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': None, 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': None, 'R2': None, 'Accuracy': 0.9666666666666667}"
50,51,"{'train_type': 'c', 'input_file': 'data/iris.csv', 'project_folder': 'output/iris_project', 'target_col': 'Name', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'False', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': ""{'Name': {'Iris-setosa':0, 'Iris-versicolor':1, 'Iris-virginica':2}}"", 'save_auto_tune': 'True', 'auto_tune_iter': '1000', 'train_cols': None, 'num_of_class': '3', 'ignore_cols': None, 'random_state': 'None', 'model_type': 'RF', 'num_of_features': 10, 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': None, 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': None, 'R2': None, 'Accuracy': 0.9533333333333334}"
51,52,"{'train_type': 'c', 'input_file': 'data/iris.csv', 'project_folder': 'output/iris_project', 'target_col': 'Name', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'False', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': ""{'Name': {'Iris-setosa':0, 'Iris-versicolor':1, 'Iris-virginica':2}}"", 'save_auto_tune': 'True', 'auto_tune_iter': '1000', 'train_cols': None, 'num_of_class': '3', 'ignore_cols': None, 'random_state': 'None', 'model_type': 'RF', 'num_of_features': 10, 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': None, 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': None, 'R2': None, 'Accuracy': 0.96}"
52,53,"{'train_type': 'c', 'input_file': 'data/iris.csv', 'project_folder': 'output/iris_project', 'target_col': 'Name', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'False', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': ""{'Name': {'Iris-setosa':0, 'Iris-versicolor':1, 'Iris-virginica':2}}"", 'save_auto_tune': 'True', 'auto_tune_iter': '1000', 'train_cols': None, 'num_of_class': '3', 'ignore_cols': None, 'random_state': 'None', 'model_type': 'RF', 'num_of_features': 10, 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': None, 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': None, 'R2': None, 'Accuracy': 0.30666666666666664}"
53,54,"{'train_type': 'c', 'input_file': 'data/iris.csv', 'project_folder': 'output/iris_project', 'target_col': 'Name', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'False', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': ""{'Name': {'Iris-setosa':0, 'Iris-versicolor':1, 'Iris-virginica':2}}"", 'save_auto_tune': 'True', 'auto_tune_iter': '1000', 'train_cols': None, 'num_of_class': '3', 'ignore_cols': None, 'random_state': 'None', 'model_type': 'RF', 'num_of_features': 10, 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': None, 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': None, 'R2': None, 'Accuracy': 0.4}"
54,55,"{'train_type': 'c', 'input_file': 'data/iris.csv', 'project_folder': 'output/iris_project', 'target_col': 'Name', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'False', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': ""{'Name': {'Iris-setosa':0, 'Iris-versicolor':1, 'Iris-virginica':2}}"", 'save_auto_tune': 'True', 'auto_tune_iter': '1000', 'train_cols': None, 'num_of_class': '3', 'ignore_cols': None, 'random_state': 'None', 'model_type': 'RF', 'num_of_features': 10, 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': None, 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': None, 'R2': None, 'Accuracy': 0.32}"
55,56,"{'train_type': 'c', 'input_file': 'data/iris.csv', 'project_folder': 'output/iris_project', 'target_col': 'Name', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'False', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': ""{'Name': {'Iris-setosa':0, 'Iris-versicolor':1, 'Iris-virginica':2}}"", 'save_auto_tune': 'True', 'auto_tune_iter': '1000', 'train_cols': None, 'num_of_class': '3', 'ignore_cols': None, 'random_state': 'None', 'model_type': 'RF', 'num_of_features': 10, 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': None, 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': None, 'R2': None, 'Accuracy': 0.30666666666666664}"
56,57,"{'train_type': 'c', 'input_file': 'data/iris.csv', 'project_folder': 'output/iris_project', 'target_col': 'Name', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'False', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': ""{'Name': {'Iris-setosa':0, 'Iris-versicolor':1, 'Iris-virginica':2}}"", 'save_auto_tune': 'True', 'auto_tune_iter': '1000', 'train_cols': None, 'num_of_class': '3', 'ignore_cols': None, 'random_state': 'None', 'model_type': 'RF', 'num_of_features': 10, 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': None, 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': None, 'R2': None, 'Accuracy': 0.32}"
57,58,"{'train_type': 'c', 'input_file': 'data/iris.csv', 'project_folder': 'output/iris_project', 'target_col': 'Name', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'False', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': ""{'Name': {'Iris-setosa':0, 'Iris-versicolor':1, 'Iris-virginica':2}}"", 'save_auto_tune': 'True', 'auto_tune_iter': '1000', 'train_cols': None, 'num_of_class': '3', 'ignore_cols': None, 'random_state': 'None', 'model_type': 'RF', 'num_of_features': 10, 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': None, 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': None, 'R2': None, 'Accuracy': 0.32666666666666666}"
58,59,"{'train_type': 'c', 'input_file': 'data/iris.csv', 'project_folder': 'output/iris_project', 'target_col': 'Name', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'False', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': ""{'Name': {'Iris-setosa':0, 'Iris-versicolor':1, 'Iris-virginica':2}}"", 'save_auto_tune': 'True', 'auto_tune_iter': '1000', 'train_cols': None, 'num_of_class': '3', 'ignore_cols': None, 'random_state': 'None', 'model_type': 'RF', 'num_of_features': 10, 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': None, 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': None, 'R2': None, 'Accuracy': 0.2733333333333333}"
59,60,"{'train_type': 'c', 'input_file': 'data/iris.csv', 'project_folder': 'output/iris_project', 'target_col': 'Name', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'False', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': ""{'Name': {'Iris-setosa':0, 'Iris-versicolor':1, 'Iris-virginica':2}}"", 'save_auto_tune': 'True', 'auto_tune_iter': '1000', 'train_cols': None, 'num_of_class': '3', 'ignore_cols': None, 'random_state': 'None', 'model_type': 'RF', 'num_of_features': 10, 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': None, 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': None, 'R2': None, 'Accuracy': 0.96}"
60,61,"{'train_type': 'c', 'input_file': 'data/iris.csv', 'project_folder': 'output/iris_project', 'target_col': 'Name', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'False', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': ""{'Name': {'Iris-setosa':0, 'Iris-versicolor':1, 'Iris-virginica':2}}"", 'save_auto_tune': 'True', 'auto_tune_iter': '1000', 'train_cols': None, 'num_of_class': '3', 'ignore_cols': None, 'random_state': 'None', 'model_type': 'RF', 'num_of_features': 10, 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': None, 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': None, 'R2': None, 'Accuracy': 0.9533333333333334}"
61,62,"{'train_type': 'c', 'input_file': 'data/iris.csv', 'project_folder': 'output/iris_project', 'target_col': 'Name', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'False', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': ""{'Name': {'Iris-setosa':0, 'Iris-versicolor':1, 'Iris-virginica':2}}"", 'save_auto_tune': 'True', 'auto_tune_iter': '1000', 'train_cols': None, 'num_of_class': '3', 'ignore_cols': None, 'random_state': 'None', 'model_type': 'RF', 'num_of_features': 10, 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': None, 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': None, 'R2': None, 'Accuracy': 0.96}"
62,63,"{'train_type': 'c', 'input_file': 'data/iris.csv', 'project_folder': 'output/iris_project', 'target_col': 'Name', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'False', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': ""{'Name': {'Iris-setosa':0, 'Iris-versicolor':1, 'Iris-virginica':2}}"", 'save_auto_tune': 'True', 'auto_tune_iter': '1000', 'train_cols': None, 'num_of_class': '3', 'ignore_cols': None, 'random_state': 'None', 'model_type': 'RF', 'num_of_features': 10, 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': None, 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': None, 'R2': None, 'Accuracy': 0.9375}"
63,64,"{'train_type': 'c', 'input_file': 'data/iris.csv', 'project_folder': 'output/iris_project', 'target_col': 'Name', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'False', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': ""{'Name': {'Iris-setosa':0, 'Iris-versicolor':1, 'Iris-virginica':2}}"", 'save_auto_tune': 'True', 'auto_tune_iter': '1000', 'train_cols': None, 'num_of_class': '3', 'ignore_cols': None, 'random_state': 'None', 'model_type': 'RF', 'num_of_features': 10, 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': None, 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': None, 'R2': None, 'Accuracy': 0.9464285714285714}"
64,65,"{'train_type': 'c', 'input_file': 'data/iris.csv', 'project_folder': 'output/iris_project', 'target_col': 'Name', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'False', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': ""{'Name': {'Iris-setosa':0, 'Iris-versicolor':1, 'Iris-virginica':2}}"", 'save_auto_tune': 'True', 'auto_tune_iter': '1000', 'train_cols': None, 'num_of_class': '3', 'ignore_cols': None, 'random_state': 'None', 'model_type': 'RF', 'num_of_features': 10, 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': None, 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': None, 'R2': None, 'Accuracy': 0.9375}"
65,66,"{'train_type': 'c', 'input_file': 'data/iris.csv', 'project_folder': 'output/iris_project', 'target_col': 'Name', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'False', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': ""{'Name': {'Iris-setosa':0, 'Iris-versicolor':1, 'Iris-virginica':2}}"", 'save_auto_tune': 'True', 'auto_tune_iter': '1000', 'train_cols': None, 'num_of_class': '3', 'ignore_cols': None, 'random_state': 'None', 'model_type': 'RF', 'num_of_features': 10, 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': None, 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': None, 'R2': None, 'Accuracy': 0.9642857142857143}"
66,67,"{'train_type': 'c', 'input_file': 'data/iris.csv', 'project_folder': 'output/iris_project', 'target_col': 'Name', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'False', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': ""{'Name': {'Iris-setosa':0, 'Iris-versicolor':1, 'Iris-virginica':2}}"", 'save_auto_tune': 'True', 'auto_tune_iter': '1000', 'train_cols': None, 'num_of_class': '3', 'ignore_cols': None, 'random_state': 'None', 'model_type': 'RF', 'num_of_features': 10, 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': None, 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': None, 'R2': None, 'Accuracy': 0.9642857142857143}"
67,68,"{'train_type': 'c', 'input_file': 'data/iris.csv', 'project_folder': 'output/iris_project', 'target_col': 'Name', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'False', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': ""{'Name': {'Iris-setosa':0, 'Iris-versicolor':1, 'Iris-virginica':2}}"", 'save_auto_tune': 'True', 'auto_tune_iter': '1000', 'train_cols': None, 'num_of_class': '3', 'ignore_cols': None, 'random_state': 'None', 'model_type': 'RF', 'num_of_features': 10, 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': None, 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': None, 'R2': None, 'Accuracy': 0.96}"
68,69,"{'train_type': 'c', 'input_file': 'data/iris.csv', 'project_folder': 'output/iris_project', 'target_col': 'Name', 'scaler': 'StandardScaler', 'test': 'True', 'auto_tune': 'False', 'save_test_chart': 'True', 'save_test_csv': 'False', 'save_metadata': 'True', 'mapping': ""{'Name': {'Iris-setosa':0, 'Iris-versicolor':1, 'Iris-virginica':2}}"", 'save_auto_tune': 'True', 'auto_tune_iter': '1000', 'train_cols': None, 'num_of_class': '3', 'ignore_cols': None, 'random_state': 'None', 'model_type': 'RF', 'num_of_features': 10, 'num_of_folds': 5, 'hyperparameter_file': None, 'feature_selection': None, 'feature_selection_file': None, 'save_corr_report': 'False', 'save_corr_chart': 'False', 'only_pcc': 'False', 'net_fast_tune': 'False', 'net_layer_n': 'Tune', 'net_structure': 'Tune', 'net_dropout': 'Tune', 'net_l_2': 'Tune', 'net_learning_rate': 'Tune', 'net_epochs': 'Tune', 'net_batch_size': 'Tune', 'net_neuron_max': -1, 'net_batch_size_max': 5, 'net_layer_min': 3, 'net_layer_max': 5, 'net_dropout_max': 0.2, 'net_default_neuron_max': 32, 'net_checkpoint': 'True'}","{'MAE': None, 'R2': None, 'Accuracy': 0.9196428571428571}"
